Date,Weekday,MinDepth,MaxDepth,NewBaseSnow,NewPeakSnow,Temp,OpenLifts,Lifts,OpenTrails,Trails,SnowCond,RoadCond,WeatherCond,SnowHazard,RoadHazard
'2015-11-22','Sunday',24,33,0,0,48,,,,,'Groomed variable conditions','Clear','Sunny skies  with high of 48 with winds out of the NE 9 mph.',4,0
'2015-11-23','Monday',24,33,0,0,48,,,,,'Groomed variable conditions','Clear','Sunny skies  with high of 48 with light winds out of the SW 8-13 mph.',4,0
'2015-11-24','Tuesday',24,33,0,0,44,,,,,'Groomed variable conditions','Clear','Sunny skies  with high of 44 with moderate winds out of the SW 12-20 mph.',4,0
'2015-11-25,''Wednesday',24,33,0,0,24,,,,,'Groomed variable conditions','Clear','20% chance of am snow and 40% chance tonight. Winds out of the SW 20-32 mph.',4,0
'2015-11-26','Thursday',24,33,0,0,29,,,,,'Groomed variable conditions','Clear','Sunny with a high near 29 and calm SW winds 7-14 mph.',4,0
'2015-11-27','Friday',24,30,0,0,25,,,,,'Groomed variable conditions','Clear','Increasing clouds 40% chance of snow in the afternoon/evening.',4,0
'2015-11-28','Saturday',24,30,1,2,26,,,,,'Groomed variable conditions','4WD or chains recommended','Sunny a slight chance of showers in the evening',4,3
'2015-11-29','Sunday',24,30,0,0,27,3,5,24,47,'Groomed variable conditions','4WD or chains recommended','high near 27 with a 20% chance of snow calm SW winds 5-13 mph',4,3
'2015-11-30','Monday',20,28,0,0,33,3,5,24,47,'Groomed variable conditions','Clear','high near 33 with calm-moderate winds out of the west 8-13 mph with possible am gusts.',4,0
'2015-12-01','Tuesday',20,28,0,0,35,3,5,23,47,'Groomed variable conditions','Clear','high of 35 with calm NE winds 0-8 mph. Great Bluebird Day!',4,0
'2015-12-02','Wednesday',20,28,0,0,42,3,5,23,47,'Groomed variable conditions','Clear','high of 42 with calm E winds 0-5 mph. Another Great Bluebird Day!',4,0
'2015-12-03','Thursday',20,28,0,0,46,3,5,23,47,'Groomed variable conditions','Clear','high of 46 with calm SE  winds 5-14 mph. Another Great Bluebird Day!',4,0
'2015-12-04','Friday',20,28,0,0,41,3,5,23,47,'Groomed variable conditions','Clear','high of 41 with calm-moderate SW winds 12-20 mph.',4,0
'2015-12-05','Saturday',20,28,0,0,42,3,5,23,47,'Groomed variable conditions','Clear','high of 42 with north-west wind 5-13 mph',4,0
'2015-12-06','Sunday',20,28,0,0,49,3,5,23,47,'Groomed variable conditions','Clear','For Sunsay high of 49 with southwest wind 9-11 mph',4,0
'2015-12-07','Monday',20,28,0,0,50,3,5,23,47,'Groomed variable conditions','Clear','high of 50 with southwest wind 5-11 mph',4,0
'2015-12-08','Tuesday',20,28,0,0,50,3,5,22,47,'Groomed variable conditions','Clear','high of 50 with northwest wind around 6 mph',4,0
'2015-12-09','Wednesday',20,28,0,0,52,3,5,22,47,'Groomed variable conditions','Clear','high of 55 with north wind 5-10 mph',4,0
'2015-12-10','Thursday',20,28,0,0,51,3,5,22,47,'Groomed variable conditions','Clear','high of 51 with west wind 10-20 mph',4,0
'2015-12-11','Friday',20,28,0,0,34,3,5,22,47,'Groomed variable conditions','Clear',high of 34 and dropping to mid 20's by 5 pm with SW wind 12-28 mph breezy at times.,4,0
'2015-12-12','Saturday',20,28,1,2,25,3,5,22,47,'Fresh powder and groomed variable conditions','4WD or chains REQUIRED',"'2"" new snow. High of 25 with wind 6-14 mph. Chance of precipitation 90% - another 1-3"" possible'",2,4
'2015-12-13','Sunday',30,40,10,12,38,3,5,26,47,'Fresh powder and groomed variable conditions','4WD or chains RECOMMENDED','Agassiz currently on Wind Hold.',2,3
'2015-12-14','Monday',30,36,1,3,20,3,5,26,47,'Fresh powder and groomed variable conditions','4WD or chains REQUIRED',"'3"" of fresh snow another 5-9"" possible. Windy from the SW gusty at times'",2,4
'2015-12-15','Tuesday',40,46,10,16,14,3,5,26,47,'Fresh powder and groomed variable conditions','4WD or chains RECOMMENDED',"'16"" of fresh snow (19"" storm total; 31"" 72-hour total). NW wind 15 mph'",2,3
'2015-12-16','Wednesday',40,46,0,0,22,3,5,26,47,'Packed powder and groomed variable conditions','4WD or chains RECOMMENDED','Chilly with a high of 22 with N winds 6-10 mph',3,3
'2015-12-17','Thursday',40,46,0,0,36,3,5,26,47,'Packed powder and groomed variable conditions','4WD or chains RECOMMENDED','high of 36 with N winds 5-11 mph breezy at times',3,3
'2015-12-18','Friday',40,46,0,0,42,4,5,32,47,'Packed powder and groomed variable conditions','plowed and cindered','high of 42 with calm East winds 5-8 mph',3,1
'2015-12-19','Saturday',40,46,0,0,44,5,5,35,47,'Packed powder and groomed variable conditions','Clear','high of 44 with SW winds 5-15 mph',3,0
'2015-12-21','Monday',40,46,1,1,37,5,5,35,47,'Trace of New - Powder and packed powder','4WD or chains recommended','High of 37 NW winds 0-9 mph and sunny.',1,3
'2015-12-22','Tuesday',40,46,0,0,34,5,5,35,47,'Packed powder variable conditions','4WD or chains recommended',"'high near 34. SW wind 17-22 mph. Chance of snow 70% with 1-2"" possible.'",2,3
'2015-12-23','Wednesday',38,40,1,2,32,5,5,35,47,'Packed powder variable conditions','4WD or chains required',"'high 32. with fog and W wind 10-17 mph. Chance of snow 50% with 1-2"" possible.'",2,4
'2015-12-24','Thursday',38,40,1,1,29,5,5,35,47,'Packed powder variable conditions','4WD or chains required','high 29. with 50% chance of snow wind 0-10 mph.',2,4
'2015-12-25','Friday',38,40,1,1,18,5,5,35,47,'Packed powder variable conditions','4WD or chains required',"'high 18. Snow showers in the morning. 2-4"" possible. Windy gusty at times.'",2,4
'2015-12-26','Saturday',38,41,3,5,6,5,5,35,47,'Packed powder variable conditions','4WD or chains required','high of 6 NE wind 17-25 mph',2,4
'2015-12-27','Sunday',38,41,0,0,28,5,5,35,47,'Packed powder variable conditions','4WD or chains recommended','high of 28 NE wind 8-15 mph Extended hrs 8:30-4:30',2,3
'2015-12-28','Monday',38,41,0,0,24,5,5,35,47,'Packed powder variable conditions','plowed and cindered','high of 24 SW winds 5-15 mph',2,1
'2015-12-29','Tuesday',38,41,1,1,18,5,5,35,47,'Packed powder variable conditions','Plowed and cindered','high of 18 W winds 5-9 mph',2,1
'2015-12-30','Wednesday',38,41,0,0,24,5,5,35,47,'Packed powder variable conditions','Plowed and cindered','high of 24 W winds 5-12 mph',2,1
'2015-12-31','Thursday',38,41,0,0,22,5,5,35,47,'Packed powder variable conditions','Clear','high of 22 E winds 0-7 mph',2,0
'2016-01-01','Friday',38,41,0,0,27,5,5,35,47,'Packed powder variable conditions','Clear','high of 27 SE winds 9-11 mph',2,0
'2016-01-02','Saturday',38,41,0,0,37,5,5,35,47,'Packed powder variable conditions','Clear','high of 37 S winds 8 mph',2,0
'2016-01-03','Sunday',38,41,0,0,37,5,5,35,47,'Packed powder variable conditions','Clear','high of 37 S winds 5-12 mph',2,0
'2016-01-04','Monday',38,41,0,0,32,5,5,35,47,'Packed powder variable conditions','Clear','high of 33 S winds 10-15 mph',2,0
'2016-01-05','Tuesday',42,48,5,8,26,5,5,35,47,'Powder and Packed Powder conditions','4x4 or chains required',"'New Snow - 8"" with 2-4"" more today'",1,4
'2016-01-06','Wednesday',48,53,8,13,25,5,5,35,47,'Powder and Packed Powder conditions','4x4 or chains required',"'New Snow - 13"" with 2-4"" more today! Two day storm total so far is 21""'",1,4
'2016-01-07','Thursday',60,64,12,18,17,4,5,35,47,'Powder and Packed Powder conditions','4x4 or chains required',"'New Snow - 18"" with 9-13"" more today! Two day storm total so far is 39""'",1,4
'2016-01-08','Friday',68,72,10,16,17,4,5,35,47,'Powder and Packed Powder conditions','4x4 or chains required',"'New Snow - 16"" with 2-4"" more today! Four day storm total so far is at 55""'",1,4
'2016-01-09','Saturday',70,70,1,3,24,5,5,35,47,'Powder and Packed Powder conditions','4x4 or chains recommended',"'New Snow 3"" Five day storm total 58""'",1,3
'2016-01-10','Sunday',70,70,0,0,21,5,5,35,47,'Powder and Packed Powder conditions','Icy in some spots',"'1-3"" of snow expected today!  Five day storm total 58""'",1,2
'2016-01-11','Monday',70,70,0,0,28,5,5,35,47,'Powder and Packed Powder conditions','Icy in some spots','Trace of new snow!',1,2
'2016-01-12','Tuesday',70,70,0,0,33,5,5,35,47,'Powder and Packed Powder conditions','Icy in some spots','Blue Bird Day!',1,2
'2016-01-13','Wednesday',70,70,0,0,40,5,5,35,47,'Powder and Packed Powder conditions','Icy in some spots','Blue Bird Day!',1,2
